age,education-num,race,sex,capital-gain,capital-loss,hours-per-week,R
40,13,1,1,0,0,50,0
30,5,1,1,0,0,40,0
19,8,1,0,0,0,30,0
50,9,1,0,0,0,35,0
60,13,1,1,0,2282,40,0
40,16,1,0,0,0,38,1
50,14,1,1,0,0,50,0
60,16,1,1,0,0,40,0
20,9,1,1,2407,0,40,0
30,9,1,1,0,0,42,0
50,7,1,1,0,0,40,0
40,14,1,0,0,1902,60,1
20,13,1,0,0,0,35,0
40,10,1,1,0,0,38,0
40,9,1,0,7298,0,40,1
20,10,1,1,0,0,25,0
40,4,0,1,0,0,42,0
30,10,1,1,0,0,70,0
60,12,1,1,0,0,40,0
20,9,1,1,0,0,60,0
70,11,1,0,0,0,35,1
30,14,0,0,0,0,40,0
60,9,1,0,0,0,15,0
50,13,1,1,0,0,40,0
40,9,1,0,0,0,40,0
40,14,1,1,0,0,40,0
40,14,0,1,0,0,38,1
50,10,1,1,0,0,8,0
30,9,1,1,0,1573,40,0
30,11,1,1,0,0,60,0
30,13,0,0,0,213,40,0
20,13,1,1,0,0,40,0
30,13,1,1,0,0,40,0
50,15,1,0,0,0,50,1
20,8,1,1,0,0,40,0
50,14,1,1,0,0,40,0
40,9,1,1,0,0,40,0
40,10,1,1,0,0,40,0
20,11,1,1,0,0,50,0
19,9,1,1,0,0,50,0
20,13,1,1,0,0,40,0
70,10,1,1,0,0,8,0
50,13,1,1,0,0,60,0
20,9,1,1,0,0,30,0
30,9,1,1,0,0,45,0
20,9,1,0,3942,0,40,0
19,10,1,1,0,0,15,0
20,9,1,1,0,0,35,0
30,7,1,1,0,0,50,0
70,4,1,1,1409,0,35,0
30,13,1,0,0,0,35,0
40,10,1,1,0,1887,68,1
19,10,0,0,2036,0,30,0
20,9,1,1,0,0,40,0
40,9,0,1,0,0,40,0
20,9,1,1,0,0,40,0
50,7,0,0,0,0,40,0
40,6,1,1,0,0,65,0
30,13,0,1,0,2339,40,0
40,9,1,0,0,0,40,0
40,9,1,0,0,0,38,0
20,1,1,1,0,0,35,0
20,12,1,0,0,0,27,0
50,16,1,1,0,0,40,1
30,9,1,1,0,0,55,0
30,12,1,1,0,0,50,1
20,13,1,1,0,0,70,0
20,10,1,1,0,0,40,0
70,9,1,1,0,0,8,0
50,9,0,0,0,0,44,0
30,10,1,1,0,0,40,0
50,13,0,1,0,0,40,0
20,9,1,1,0,0,55,0
40,13,0,1,0,0,60,0
40,9,1,1,0,0,45,0
40,10,1,0,0,0,65,1
40,9,1,1,0,0,40,0
20,10,1,0,0,0,35,0
20,15,1,1,0,0,50,0
20,8,1,1,0,0,40,0
60,9,1,0,0,2206,59,0
50,16,1,1,0,0,40,1
40,13,1,1,0,0,50,0
30,7,1,1,0,0,40,0
50,13,1,1,0,1672,70,0
30,9,1,1,0,0,60,0
50,13,1,1,0,0,55,0
20,11,1,1,0,0,40,0
30,7,1,1,0,0,40,0
20,13,0,1,0,0,40,0
19,10,1,1,0,0,40,0
20,9,1,1,0,0,40,0
40,13,1,0,0,0,25,0
20,10,1,1,0,0,10,0
40,9,1,0,0,0,30,0
30,9,0,0,0,0,40,0
20,10,0,0,0,0,15,0
30,14,1,1,0,1887,40,1
30,13,1,1,0,0,45,0
40,13,1,1,15024,0,50,1
30,11,1,1,0,0,35,0
60,4,1,1,0,0,55,0
60,9,1,0,0,0,40,0
20,10,0,1,0,0,25,0
40,10,1,1,0,0,20,0
40,9,1,1,0,0,85,0
30,13,1,1,0,0,40,0
30,10,1,1,5178,0,50,1
40,9,1,1,0,0,40,0
30,13,1,1,0,1902,55,1
20,9,1,0,0,0,40,0
30,13,0,0,0,0,40,0
50,9,1,0,0,0,20,0
60,9,1,1,9386,0,40,1
20,9,1,0,0,0,50,0
60,10,1,0,0,0,40,0
40,9,1,0,0,0,40,0
20,10,1,1,0,0,60,0
20,9,1,1,5178,0,40,0
20,13,1,1,0,0,35,0
20,9,1,0,0,0,60,0
30,9,1,1,0,0,40,0
30,9,1,1,0,0,40,0
20,13,1,0,0,0,40,0
70,10,1,1,0,0,20,0
20,9,1,1,0,0,50,0
40,10,1,1,0,0,40,0
40,12,1,0,0,0,38,1
40,9,1,1,0,0,30,0
20,10,1,0,0,0,40,0
30,10,1,1,0,0,55,0
40,13,1,1,0,0,40,0
40,14,1,1,0,0,50,1
50,13,1,1,0,0,40,0
60,9,1,0,0,0,40,0
20,13,1,1,0,0,45,0
40,11,1,1,0,0,43,0
18,10,1,1,0,0,30,0
40,13,1,1,0,0,55,0
30,9,1,0,0,0,45,0
30,9,1,1,0,0,40,0
40,9,1,0,0,0,40,0
60,9,1,1,0,0,20,0
40,9,1,1,14344,0,40,1
50,9,1,1,0,0,65,0
20,9,0,0,0,0,40,0
20,10,1,1,0,0,70,0
20,10,1,0,0,0,40,0
60,14,1,0,0,0,45,0
19,10,1,1,0,0,10,0
50,9,1,1,0,0,40,0
30,9,1,1,0,0,65,0
20,10,1,1,0,0,35,0
60,9,1,1,0,0,37,0
40,8,1,1,0,0,40,0
20,9,1,1,0,0,47,0
30,13,0,0,0,0,46,0
30,11,0,1,0,0,37,0
40,13,1,1,0,0,45,0
30,7,1,0,0,0,8,0
30,10,1,1,0,0,60,0
20,10,1,0,0,0,60,0
30,7,1,1,0,0,49,0
20,10,1,0,0,0,15,0
20,13,1,1,0,0,40,0
20,9,1,0,0,0,52,0
40,14,1,1,0,0,65,1
40,14,1,1,0,0,40,0
20,10,1,0,0,0,40,0
30,13,1,0,0,0,60,1
30,10,1,1,0,0,40,0
30,11,1,1,0,0,40,0
30,12,0,0,0,0,40,0
50,9,1,0,0,0,40,0
30,9,1,1,0,0,40,0
50,4,0,0,0,0,40,0
20,13,1,1,0,0,40,0
20,10,1,0,0,0,40,0
20,13,1,1,0,0,40,0
60,10,1,0,0,0,40,0
30,10,1,1,0,0,60,0
20,10,1,1,0,0,40,0
60,9,1,1,0,0,40,0
40,9,1,0,0,0,40,0
20,3,1,0,0,0,40,0
30,13,1,0,10520,0,45,1
30,10,1,0,2597,0,40,0
20,10,1,0,2176,0,20,0
50,10,0,1,0,1485,40,0
30,11,1,1,0,0,40,0
20,2,1,0,0,0,40,0
20,9,1,1,0,0,50,0
40,9,1,0,0,0,25,0
20,13,0,1,0,0,20,0
20,13,0,1,0,0,40,0
40,13,1,1,0,1902,40,1
50,13,1,1,15024,0,55,1
40,9,1,1,0,0,15,0
30,9,1,0,0,0,28,0
20,3,1,0,0,0,40,0
40,9,1,1,0,0,44,0
30,6,1,0,0,0,16,0
20,13,1,1,0,0,40,0
40,9,1,1,0,0,60,0
20,10,0,1,0,0,40,0
50,9,1,1,0,0,48,0
50,10,0,1,0,0,35,0
30,10,1,1,0,0,50,0
30,9,1,1,0,0,50,0
40,9,1,1,0,1628,45,0
40,5,1,0,0,0,50,0
50,10,1,0,0,0,16,0
40,9,1,1,0,0,45,0
18,10,1,0,0,0,20,0
50,8,0,1,594,0,40,0
40,9,1,0,0,0,46,0
50,9,0,1,0,0,40,0
50,9,1,1,0,0,40,0
30,10,1,1,0,0,52,0
40,7,1,0,0,0,40,0
40,10,1,1,0,0,60,0
20,13,1,0,0,0,45,0
20,9,0,1,0,0,50,0
40,6,1,1,0,2179,52,0
30,10,1,0,0,0,45,0
70,9,1,1,0,0,6,0
30,4,0,1,0,0,10,0
30,9,1,1,0,0,62,0
17,7,1,0,0,0,8,0
30,5,1,1,0,0,37,0
20,10,1,0,0,0,40,0
30,9,1,0,0,0,20,0
60,9,1,0,0,0,40,0
20,10,1,0,4064,0,25,0
50,13,1,1,10605,0,50,1
30,9,1,1,0,0,55,0
30,10,0,0,0,0,40,0
60,13,1,0,0,2206,5,1
30,9,0,1,0,0,36,0
30,4,1,1,2176,0,35,0
30,11,1,1,0,1887,40,1
40,6,1,0,0,0,40,0
40,13,1,1,15024,0,40,1
18,10,1,0,0,0,20,0
30,13,1,0,0,0,15,0
40,13,1,1,0,0,38,0
30,9,1,0,0,0,40,0
70,5,0,1,0,0,40,0
50,16,1,1,0,0,60,1
20,11,1,0,0,0,40,0
40,14,1,0,0,2547,40,1
30,7,1,1,3103,0,44,0
40,12,1,1,0,1977,60,1
18,10,1,0,0,0,15,0
50,11,1,1,0,0,20,1
40,9,1,1,0,0,46,0
20,9,1,1,0,0,40,0
20,13,1,0,0,0,42,0
50,9,1,1,0,0,40,0
40,13,1,1,0,0,50,0
40,9,1,1,0,1887,45,1
40,10,1,1,0,0,40,0
30,12,1,0,0,0,40,0
50,9,1,1,0,0,40,0
50,9,1,1,0,0,25,0
20,7,1,0,0,0,40,0
40,10,1,1,0,0,60,0
20,10,1,0,0,0,35,0
30,7,1,0,0,0,60,0
50,10,1,0,4650,0,40,1
30,9,1,1,0,0,40,0
30,9,1,1,0,0,40,0
40,9,1,0,0,0,30,0
20,10,1,0,0,0,30,0
20,10,0,1,0,0,40,0
60,6,1,1,0,0,40,0
20,10,1,1,0,0,45,0
40,9,1,1,0,0,40,0
30,15,1,1,15024,0,45,1
20,13,1,0,0,0,35,0
60,13,1,1,0,0,50,0
40,12,1,1,0,0,40,0
40,9,1,1,0,0,40,0
30,8,1,0,0,0,40,0
40,10,1,0,0,0,40,0
50,3,1,1,0,0,55,0
30,5,1,1,0,0,50,0
30,9,0,1,0,0,40,0
20,10,0,1,0,0,40,0
40,9,1,1,0,0,70,0
40,9,1,0,0,0,52,1
40,13,1,0,0,0,50,1
40,9,1,0,0,0,55,0
50,9,1,1,4386,0,40,1
30,10,1,1,0,0,40,0
60,10,1,0,0,0,40,0
30,2,1,1,0,0,40,0
50,9,1,1,0,0,50,0
20,13,1,1,0,2339,55,1
60,9,1,1,2635,0,24,0
40,13,1,1,0,0,60,0
40,14,1,1,0,0,50,1
50,9,0,0,0,0,45,0
60,13,1,1,7688,0,54,1
30,5,1,1,0,0,40,0
40,10,1,1,0,0,40,0
40,10,0,1,0,0,40,0
40,14,1,1,0,0,40,0
20,10,1,1,2829,0,70,0
19,10,1,1,0,0,50,0
50,13,1,1,0,0,20,0
30,12,1,0,0,0,35,0
70,13,1,1,0,0,20,0
50,13,1,1,0,0,40,0
60,9,1,1,0,0,40,0
40,14,1,1,0,0,40,0
50,9,1,1,0,2258,40,1
20,9,1,1,0,0,40,0
40,13,1,1,15024,0,45,1
30,9,1,1,0,0,65,0
20,3,1,1,0,0,75,0
40,14,1,1,0,0,46,0
20,10,1,1,0,0,40,0
20,9,1,1,0,0,12,0
40,9,1,0,0,0,40,0
20,15,1,1,0,0,55,0
30,11,1,0,0,0,52,0
60,4,1,0,0,0,10,0
20,9,1,1,0,0,40,0
30,10,1,1,0,0,40,0
20,9,1,1,0,0,37,0
30,9,1,1,0,0,40,0
20,7,1,0,0,0,40,0
18,10,1,1,0,0,30,0
30,9,1,1,0,0,40,0
50,9,1,1,7298,0,50,1
20,13,1,0,0,0,30,0
20,13,1,0,0,0,40,0
40,10,0,1,0,0,55,0
50,9,1,1,0,0,38,0
40,9,0,0,0,0,36,0
40,9,1,1,0,1740,43,0
20,9,1,0,0,0,42,0
40,10,0,0,0,0,41,0
40,11,1,1,0,0,24,0
40,10,1,1,0,0,45,0
30,9,1,0,0,0,30,0
20,9,1,0,0,0,40,0
40,9,1,0,0,0,40,0
40,10,1,1,0,1408,40,0
30,10,1,0,0,0,36,0
20,13,0,1,0,0,40,0
40,13,1,1,0,0,40,0
30,13,0,1,0,0,50,0
30,9,0,1,0,0,40,0
40,14,1,1,0,0,45,0
20,12,1,1,0,0,40,0
60,10,1,1,0,0,27,0
19,10,1,0,0,0,30,0
20,10,0,1,0,0,42,0
40,14,0,0,0,0,37,1
40,9,1,1,0,0,40,0
70,6,0,1,1797,0,30,0
30,15,1,1,0,0,40,0
60,9,1,1,0,0,40,0
60,3,0,1,0,2339,40,0
50,9,1,1,0,0,60,0
20,12,1,0,0,0,16,0
40,13,1,0,0,0,45,1
20,9,1,1,0,0,40,0
20,9,1,0,0,0,20,0
40,10,1,0,0,0,48,1
50,10,0,1,15024,0,40,1
40,13,1,0,0,1602,8,0
17,7,1,0,0,0,15,0
40,10,1,1,0,0,40,0
30,13,1,1,0,0,35,0
50,14,1,1,0,0,38,0
50,12,1,1,15024,0,40,1
60,6,1,1,0,0,40,0
40,10,1,1,0,0,40,0
20,14,1,0,0,0,37,0
40,10,1,0,0,0,40,0
40,9,1,1,0,0,40,0
20,10,1,0,0,0,40,0
30,13,1,1,0,0,55,0
40,12,1,0,0,0,67,1
60,9,1,1,0,0,40,0
40,9,1,1,0,0,40,0
30,10,1,0,0,0,40,0
20,9,1,0,0,0,10,0
40,9,1,1,0,0,40,0
60,6,1,0,0,0,20,0
30,14,1,1,0,0,50,0
30,15,1,1,0,0,35,0
40,10,1,1,0,0,65,0
60,9,1,1,0,0,53,0
70,5,1,1,0,0,30,0
70,13,1,1,11678,0,45,1
30,10,0,0,0,0,40,0
50,14,1,0,4650,0,70,1
40,14,1,0,0,0,40,1
40,9,0,1,0,0,40,0
20,13,0,0,0,0,45,0
50,13,1,1,0,2559,50,1
40,15,1,1,0,0,50,1
30,13,1,0,0,0,40,0
20,9,1,1,0,0,40,0
20,6,0,1,0,1602,40,0
40,15,1,1,0,0,50,1
20,10,1,1,0,0,20,0
50,9,1,1,0,0,40,0
30,9,1,1,0,0,40,0
30,9,1,1,0,0,50,0
30,8,0,1,0,0,45,0
30,9,1,1,0,0,40,0
50,9,1,1,0,0,45,0
40,9,0,1,0,0,40,0
40,10,1,1,7688,0,40,1
40,10,1,0,0,0,40,0
20,9,1,0,0,0,39,0
70,9,1,0,0,0,25,0
30,15,1,1,0,0,55,1
50,10,1,1,0,0,40,0
40,12,1,1,0,0,40,0
50,4,1,0,0,0,40,0
30,13,1,0,0,0,40,0
50,10,1,0,0,0,50,0
50,11,1,1,0,0,50,0
19,10,1,0,0,0,25,0
30,13,1,1,0,0,55,0
40,7,1,0,0,0,32,0
70,10,1,1,3471,0,20,0
50,9,1,1,0,0,40,0
30,11,1,1,0,0,40,0
40,10,1,1,0,0,40,0
30,13,1,0,0,0,20,0
20,10,1,1,0,0,15,0
50,9,1,0,0,0,38,0
60,10,1,1,0,0,50,0
18,7,1,0,0,0,20,0
30,13,0,0,0,0,40,0
20,9,1,1,0,0,40,0
40,10,1,1,0,0,55,0
40,11,1,1,0,0,40,0
20,10,0,1,0,0,50,0
30,5,1,1,0,0,40,0
40,13,1,1,0,0,40,0
30,14,1,1,7688,0,45,1
20,10,1,0,0,0,30,0
30,13,1,1,0,0,50,0
70,4,1,0,0,0,20,0
20,9,0,0,0,0,37,0
18,7,1,0,0,0,49,0
20,10,1,1,0,0,15,0
30,9,1,1,0,0,40,0
30,14,1,1,0,0,72,1
30,9,1,1,0,0,45,0
30,7,1,1,0,0,43,0
20,9,0,1,0,0,40,0
30,9,1,1,0,0,40,0
40,9,0,0,0,0,40,0
30,9,1,1,0,0,66,0
30,13,1,1,0,0,50,0
40,10,1,1,0,0,60,0
20,9,1,0,0,0,56,0
20,13,0,0,0,0,6,0
40,1,1,0,0,0,40,0
20,9,1,1,0,0,38,0
19,10,1,0,0,0,20,0
30,3,1,0,0,0,40,0
60,9,1,1,0,0,52,0
20,10,1,0,0,0,40,0
30,9,1,0,0,0,34,0
20,9,1,1,0,0,40,0
20,10,1,0,0,0,40,0
40,14,1,1,0,0,35,0
50,9,0,0,0,0,40,0
20,10,1,1,0,0,37,0
30,15,1,1,0,2824,45,1
30,7,1,1,0,0,40,0
40,3,0,1,0,1579,40,0
40,14,0,1,0,0,45,0
30,10,1,1,0,0,40,0
20,9,1,1,0,0,25,0
40,14,1,1,0,0,50,1
60,10,1,1,0,0,50,0
20,10,1,1,0,0,35,0
30,9,0,0,0,0,38,0
20,10,1,1,0,0,60,0
20,10,1,0,0,0,40,0
20,14,1,0,0,0,50,0
40,9,1,0,0,0,50,0
50,9,1,1,0,0,40,0
20,12,1,1,0,0,60,0
40,9,1,0,0,0,48,0
30,13,1,1,0,0,50,0
40,13,1,1,0,0,40,0
60,4,1,1,0,0,35,0
30,9,1,1,0,0,40,0
40,9,1,0,0,0,48,0
50,9,1,1,0,0,40,0
30,9,1,1,0,0,54,0
60,9,1,1,3818,0,11,0
20,10,0,0,0,0,20,0
30,9,0,1,0,0,60,0
30,9,1,0,0,0,40,0
70,14,1,1,9386,0,6,1
30,11,1,1,0,0,45,0
30,12,0,0,10520,0,50,1
70,14,1,1,0,0,66,0
50,10,1,1,0,0,40,0
30,10,1,1,0,0,36,0
30,9,1,1,0,0,50,0
40,7,0,0,0,0,40,0
20,10,1,0,0,0,25,0
30,13,1,1,0,0,5,1
30,10,1,1,0,0,40,0
20,9,1,1,0,0,45,0
19,7,0,0,0,0,15,0
40,13,1,0,7688,0,40,1
20,13,1,0,0,1902,50,1
40,15,0,0,15024,0,40,1
60,9,1,1,0,0,40,0
40,12,1,0,5455,0,38,1
30,10,1,1,0,0,40,0
50,13,1,1,0,0,25,0
40,3,1,0,0,0,40,0
30,10,1,0,0,0,40,0
30,13,1,1,0,1887,60,1
20,9,1,1,0,0,40,0
50,9,1,1,7688,0,40,1
60,6,1,0,0,0,40,0
50,9,1,1,0,0,40,0
20,9,1,0,0,0,52,0
30,9,1,1,0,0,40,0
20,10,1,0,0,0,30,0
30,10,1,1,0,0,50,0
60,12,1,0,0,0,20,0
50,13,1,0,0,0,45,1
40,10,1,0,0,0,40,0
50,4,1,0,0,0,20,0
19,9,1,1,0,0,35,0
40,9,1,0,0,0,40,0
20,9,1,1,0,0,48,0
20,13,0,0,0,0,35,0
40,11,1,1,0,0,45,0
40,11,1,1,0,0,50,0
30,9,1,0,0,0,40,0
30,9,1,1,0,0,40,0
50,10,0,1,0,0,30,0
20,12,1,0,0,0,25,0
20,9,1,1,0,0,40,0
40,2,1,1,0,0,40,0
30,10,1,1,0,0,48,0
40,14,0,0,0,0,42,0
30,5,1,1,0,0,40,0
30,12,1,1,0,0,40,0
30,10,1,1,0,0,40,0
20,7,1,1,0,0,35,0
50,10,1,1,3137,0,40,0
70,4,1,0,0,0,16,0
40,9,1,1,0,0,35,0
17,7,1,0,0,0,8,0
40,13,0,1,0,1590,40,0
30,13,1,1,0,0,50,0
20,11,1,1,0,0,20,0
40,5,1,1,0,0,40,0
50,9,1,1,0,0,40,0
20,9,1,1,0,0,40,0
40,10,1,1,0,0,99,0
50,13,1,1,5178,0,40,1
30,9,1,1,0,0,40,0
50,10,1,0,0,0,40,1
30,13,1,1,15024,0,35,1
20,9,1,1,0,1740,40,0
30,4,1,1,0,0,35,0
40,14,1,1,15024,0,40,1
20,13,1,1,0,0,45,0
40,11,1,1,0,0,40,0
30,4,1,1,0,0,50,1
20,10,1,1,1055,0,20,0
40,9,1,0,0,0,38,0
40,9,0,1,0,0,24,0
50,10,1,1,0,0,40,0
40,9,0,1,0,0,40,0
20,10,1,0,0,0,40,0
50,4,1,1,0,0,60,0
17,6,1,0,0,0,15,0
60,15,1,1,0,0,50,0
40,10,1,1,0,0,60,0
40,9,1,1,0,0,45,0
20,9,0,1,0,0,16,0
30,9,1,1,0,0,60,0
19,10,1,0,0,0,28,0
30,9,1,0,0,0,40,0
18,10,1,0,0,0,30,0
20,7,1,0,0,0,40,0
20,10,1,1,0,0,35,0
40,14,1,0,0,1876,40,1
40,13,1,1,0,0,40,0
30,12,1,0,0,880,45,0
40,13,0,0,0,0,40,0
20,13,0,1,2174,0,40,0
50,10,0,1,0,0,40,0
30,10,0,0,0,0,40,0
50,4,1,1,0,0,40,0
50,10,1,1,15024,0,40,1
40,12,1,1,0,0,20,0
20,10,1,1,0,0,50,0
30,14,1,1,0,0,45,1
30,13,1,0,0,0,40,0
50,9,0,0,0,0,40,0
60,10,1,1,9386,0,40,1
40,14,1,0,0,0,35,1
50,9,1,1,0,0,48,0
60,9,1,0,0,0,20,0
60,10,1,1,0,0,18,0
60,4,1,1,0,0,4,0
60,13,1,1,0,0,40,0
40,13,1,1,7298,0,65,1
40,10,1,1,0,0,40,0
20,10,1,0,0,0,40,0
30,6,1,0,0,0,33,0
20,9,1,1,0,0,40,0
40,11,1,1,0,0,40,0
40,4,1,1,0,0,40,0
50,6,1,1,0,0,30,0
20,13,1,1,0,0,40,0
50,9,1,1,0,0,40,0
30,9,1,0,0,0,40,0
20,9,0,0,0,0,40,0
20,11,1,0,0,0,40,0
50,9,1,1,0,1902,40,1
50,14,1,1,0,0,40,0
30,9,0,0,0,0,40,0
60,9,1,1,0,0,40,0
30,9,1,1,4064,0,50,0
19,10,1,1,0,0,20,0
60,10,1,0,0,0,20,0
40,10,1,1,3103,0,45,0
30,15,1,1,2829,0,50,1
40,9,1,1,0,0,40,0
20,10,1,0,0,0,30,0
30,9,1,0,0,0,35,0
30,11,1,1,0,0,40,0
40,9,0,1,7298,0,40,1
30,9,1,1,0,0,40,0
50,6,1,1,0,0,50,0
20,4,1,0,0,0,40,0
50,9,1,1,0,0,45,0
30,9,1,0,0,0,55,0
40,10,1,0,0,0,40,0
30,10,1,1,0,0,57,0
20,13,1,1,0,0,20,0
40,9,1,0,0,0,30,0
60,16,1,1,0,2377,25,1
30,13,1,1,0,0,25,0
40,13,1,1,0,0,60,0
60,10,1,1,0,0,55,0
20,9,0,1,0,0,40,0
20,10,1,1,0,0,30,0
40,10,0,0,0,0,40,0
60,13,1,1,0,0,40,0
20,8,0,1,0,0,60,0
30,9,1,1,0,0,40,0
30,10,1,1,0,0,30,0
40,9,0,0,0,0,40,0
20,10,1,0,0,0,2,0
20,13,1,1,0,0,40,0
60,9,1,1,0,0,40,0
50,10,1,1,0,0,50,0
40,11,1,0,0,0,40,0
60,10,1,1,0,0,4,0
20,10,1,1,0,0,35,0
50,13,1,0,0,0,20,1
30,13,1,0,0,0,35,0
30,9,1,1,3325,0,50,0
40,9,1,0,2463,0,40,0
30,13,1,0,0,0,40,0
40,10,1,1,0,0,50,0
30,9,1,1,0,0,52,0
20,13,1,0,0,0,40,0
60,9,1,0,15831,0,16,1
18,9,0,1,0,0,40,0
30,4,1,1,0,0,40,0
20,15,1,1,0,2339,40,1
50,9,1,0,0,0,40,0
40,13,1,1,0,0,60,0
40,9,1,0,0,0,38,0
30,9,1,1,0,0,60,0
20,7,1,0,0,0,40,0
17,6,1,1,0,0,30,0
50,9,1,1,0,0,45,0
20,10,0,1,0,0,30,0
30,10,1,1,0,0,40,0
40,9,1,1,0,0,60,0
40,13,1,1,0,0,40,0
60,13,1,1,0,0,40,0
30,13,1,1,0,0,47,0
20,9,1,0,0,0,40,0
20,11,1,1,0,1887,48,1
40,9,1,1,0,0,30,0
40,14,1,0,0,0,40,1
40,10,1,1,0,0,54,0
40,11,0,1,0,0,40,0
30,6,1,1,0,2559,50,1
30,11,1,1,0,0,45,0
40,11,1,0,0,2339,36,0
40,11,1,0,0,0,40,0
30,9,1,1,0,0,35,0
20,10,1,0,0,0,10,0
70,9,1,1,0,0,15,0
60,9,1,1,0,0,30,0
30,9,1,1,0,0,40,0
40,16,1,1,0,0,45,0
30,10,0,1,0,0,55,0
30,11,1,1,0,0,49,0
20,13,1,1,0,0,55,0
20,9,0,1,0,0,40,0
60,13,1,1,0,0,40,0
40,10,1,0,0,0,30,0
40,16,1,0,0,1564,50,1
40,10,1,1,0,0,45,0
50,7,1,0,0,0,37,0
40,7,0,0,0,0,40,0
40,13,0,1,0,0,50,1
20,9,0,0,0,0,37,0
40,9,1,1,0,1564,55,0
30,9,1,1,0,0,43,0
50,6,1,1,0,0,40,0
30,9,1,1,0,0,40,0
30,10,1,1,0,0,40,0
17,7,1,0,0,0,12,0
20,10,1,0,0,0,40,0
40,13,1,1,7688,0,65,1
20,9,1,0,0,0,48,0
50,8,1,1,0,0,40,0
19,9,0,1,0,0,40,0
40,9,1,0,0,0,35,0
30,13,1,1,0,1887,40,1
20,9,1,1,0,0,50,0
40,9,1,1,0,0,40,0
40,11,0,0,0,0,40,1
40,11,1,1,0,0,40,0
40,14,1,1,0,1977,60,1
50,9,1,0,99999,0,35,1
50,9,1,1,0,0,40,0
50,13,1,0,0,0,40,1
30,13,1,1,0,0,45,0
18,8,1,0,0,0,25,0
30,14,1,1,0,0,60,0
18,9,1,1,0,0,40,0
40,9,1,1,0,0,40,0
40,14,1,0,0,0,40,1
30,11,1,1,0,0,50,0
20,14,0,0,0,0,20,0
20,10,1,0,0,0,40,0
40,11,1,0,0,0,45,0
20,9,1,1,0,0,20,0
30,13,1,1,0,0,40,0
50,10,1,1,0,0,40,0
20,13,1,0,0,0,40,0
30,14,1,0,15024,0,50,1
20,10,1,1,0,0,20,0
40,10,1,1,0,0,42,0
20,10,1,0,0,0,40,0
20,13,1,1,0,0,40,0
50,9,1,1,0,0,40,0
50,9,1,0,0,0,62,0
17,6,1,0,0,0,20,0
20,9,1,1,0,0,40,0
30,13,1,1,0,1741,48,0
40,10,1,0,7688,0,40,1
40,9,1,0,0,0,40,0
30,10,1,1,0,0,40,0
30,9,1,1,0,0,40,0
40,10,1,0,0,0,40,0
60,15,1,1,0,0,20,0
40,11,1,1,0,0,25,0
40,15,1,1,0,0,50,1
40,10,1,1,0,0,40,0
30,10,1,0,0,0,32,0
40,10,0,1,0,0,40,0
40,10,1,0,0,0,50,1
20,6,1,1,0,0,40,0
40,9,1,1,0,0,40,0
30,6,1,0,0,0,35,0
40,10,1,1,0,0,40,0
60,9,0,1,0,2559,50,0
30,10,1,1,0,0,40,0
40,12,1,1,0,1408,40,0
30,13,1,0,0,0,40,0
