age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,R
20,Private,10,Married-civ-spouse,Exec-managerial,Wife,0,0,0,0,40,United-States,1
40,Self-emp-inc,13,Divorced,Exec-managerial,Not-in-family,1,1,0,0,40,United-States,1
40,Private,9,Never-married,Exec-managerial,Not-in-family,1,0,0,0,50,United-States,0
30,?,9,Never-married,?,Unmarried,0,0,0,0,40,United-States,0
60,?,9,Married-civ-spouse,?,Husband,1,1,0,0,50,United-States,1
30,Private,10,Married-civ-spouse,Sales,Husband,1,1,0,0,44,United-States,1
17,Local-gov,7,Never-married,Prof-specialty,Own-child,1,0,0,0,20,Puerto-Rico,0
30,?,8,Separated,?,Unmarried,0,0,0,0,53,United-States,0
30,Private,10,Separated,Sales,Unmarried,0,0,0,0,16,United-States,0
50,Private,10,Divorced,Craft-repair,Not-in-family,1,1,0,0,40,United-States,0
20,Private,13,Never-married,Exec-managerial,Own-child,1,1,0,0,40,United-States,0
20,Private,10,Never-married,Adm-clerical,Own-child,1,0,0,0,20,United-States,0
20,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,1,1,0,0,40,United-States,0
50,Private,9,Divorced,Sales,Not-in-family,1,0,0,0,37,United-States,0
50,Local-gov,13,Married-civ-spouse,Prof-specialty,Husband,1,1,0,0,45,United-States,1
20,Local-gov,13,Never-married,Prof-specialty,Not-in-family,1,0,0,1092,40,United-States,0
50,Private,9,Married-civ-spouse,Exec-managerial,Wife,1,0,0,0,40,United-States,1
30,Private,9,Never-married,Other-service,Not-in-family,1,0,0,0,30,United-States,0
30,Private,13,Married-civ-spouse,Craft-repair,Husband,1,1,0,0,45,United-States,1
40,Private,13,Married-civ-spouse,Adm-clerical,Wife,1,0,0,0,40,United-States,1
18,Private,9,Never-married,Machine-op-inspct,Not-in-family,1,0,0,0,30,United-States,0
20,Private,10,Never-married,Handlers-cleaners,Own-child,1,1,0,0,25,United-States,0
50,Private,2,Separated,Farming-fishing,Not-in-family,0,1,0,0,50,United-States,0
50,State-gov,9,Divorced,Adm-clerical,Not-in-family,1,0,0,0,40,England,0
40,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,1,1,0,0,45,United-States,0
40,Private,10,Divorced,Exec-managerial,Unmarried,1,0,0,0,40,United-States,0
20,Federal-gov,12,Divorced,Adm-clerical,Not-in-family,1,0,0,0,40,United-States,0
50,Private,9,Married-civ-spouse,Craft-repair,Husband,1,1,3103,0,40,United-States,1
40,Private,13,Married-civ-spouse,Prof-specialty,Husband,1,1,0,1902,40,United-States,1
40,Self-emp-inc,10,Married-civ-spouse,Exec-managerial,Husband,1,1,15024,0,50,United-States,1
30,Private,10,Never-married,Adm-clerical,Not-in-family,1,1,0,0,40,United-States,0
40,Private,13,Married-civ-spouse,Craft-repair,Husband,1,1,0,0,40,United-States,1
30,Private,9,Never-married,Machine-op-inspct,Other-relative,1,1,0,0,40,United-States,0
20,Self-emp-inc,12,Never-married,Sales,Not-in-family,1,1,0,0,60,United-States,0
30,Self-emp-inc,9,Married-civ-spouse,Sales,Husband,1,1,0,0,62,United-States,1
20,State-gov,13,Never-married,Prof-specialty,Not-in-family,1,0,0,0,20,United-States,0
40,Private,4,Married-civ-spouse,Machine-op-inspct,Husband,1,1,0,0,40,United-States,0
30,Private,13,Married-civ-spouse,Prof-specialty,Husband,1,1,0,0,50,United-States,1
30,Private,12,Never-married,Sales,Not-in-family,0,1,0,0,50,United-States,0
30,Private,9,Married-civ-spouse,Transport-moving,Husband,1,1,0,0,50,United-States,1
40,Private,9,Separated,Exec-managerial,Unmarried,1,0,0,0,40,Canada,0
50,Private,9,Married-civ-spouse,Exec-managerial,Wife,1,0,0,0,30,United-States,1
70,Private,10,Widowed,Adm-clerical,Not-in-family,1,0,0,0,25,United-States,0
30,Private,9,Married-civ-spouse,Tech-support,Husband,1,1,0,0,60,United-States,1
30,Private,11,Married-civ-spouse,Machine-op-inspct,Husband,0,1,0,0,40,United-States,1
40,Private,9,Married-civ-spouse,Sales,Husband,1,1,0,0,60,United-States,1
50,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,1,1,0,0,25,United-States,1
40,Private,12,Divorced,Exec-managerial,Unmarried,1,1,0,0,40,United-States,0
20,State-gov,10,Never-married,Other-service,Unmarried,1,0,0,0,40,United-States,0
40,Private,9,Married-spouse-absent,Other-service,Not-in-family,1,1,0,0,35,Mexico,0
40,Federal-gov,13,Never-married,Adm-clerical,Not-in-family,1,1,0,0,55,United-States,0
20,Private,10,Never-married,Adm-clerical,Own-child,1,1,0,0,40,United-States,0
40,Private,9,Married-civ-spouse,Craft-repair,Husband,1,1,0,0,60,United-States,1
40,Private,9,Married-civ-spouse,Prof-specialty,Husband,1,1,0,1902,40,United-States,1
40,Private,10,Married-civ-spouse,Transport-moving,Husband,1,1,3103,0,40,United-States,1
40,Local-gov,14,Married-civ-spouse,Prof-specialty,Husband,0,1,0,0,38,United-States,1
20,Private,11,Never-married,Adm-clerical,Own-child,1,0,0,0,36,United-States,0
18,Private,7,Never-married,Sales,Own-child,1,1,0,0,35,United-States,0
30,Private,13,Married-civ-spouse,Prof-specialty,Husband,1,1,0,0,40,United-States,1
30,Private,13,Never-married,Machine-op-inspct,Not-in-family,1,0,0,0,40,United-States,0
60,Private,15,Married-civ-spouse,Prof-specialty,Husband,1,1,0,0,30,United-States,1
20,Private,9,Never-married,Machine-op-inspct,Not-in-family,1,0,0,0,40,United-States,0
20,Private,10,Separated,Craft-repair,Not-in-family,1,1,0,0,40,United-States,0
40,State-gov,9,Married-civ-spouse,Exec-managerial,Husband,1,1,0,0,40,United-States,1
30,Self-emp-not-inc,10,Married-civ-spouse,Machine-op-inspct,Husband,1,1,0,0,48,United-States,0
50,Local-gov,10,Married-civ-spouse,Protective-serv,Husband,1,1,0,0,48,United-States,1
30,Private,10,Divorced,Handlers-cleaners,Own-child,1,1,0,0,40,United-States,0
40,Local-gov,14,Never-married,Prof-specialty,Not-in-family,0,0,0,0,40,United-States,0
30,Self-emp-inc,12,Married-civ-spouse,Sales,Husband,1,1,5178,0,48,United-States,1
17,Private,7,Never-married,Adm-clerical,Own-child,1,0,0,0,20,United-States,0
30,Private,11,Married-civ-spouse,Adm-clerical,Wife,0,0,0,0,48,United-States,1
30,Private,10,Divorced,Prof-specialty,Unmarried,1,0,7443,0,40,United-States,1
50,Private,10,Married-civ-spouse,Craft-repair,Husband,0,1,15024,0,40,United-States,1
30,Local-gov,9,Separated,Exec-managerial,Unmarried,1,1,0,0,40,United-States,0
60,?,9,Never-married,?,Not-in-family,1,1,0,0,15,United-States,0
40,Self-emp-not-inc,13,Married-civ-spouse,Sales,Wife,0,0,0,0,60,South,1
50,Private,9,Married-civ-spouse,Prof-specialty,Husband,1,1,0,0,40,United-States,1
20,Local-gov,13,Never-married,Prof-specialty,Own-child,1,1,0,0,40,United-States,0
50,Private,9,Married-civ-spouse,Exec-managerial,Husband,1,1,7298,0,40,United-States,1
60,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,1,1,0,0,15,United-States,0
60,Private,6,Married-civ-spouse,Transport-moving,Husband,1,1,0,0,50,United-States,0
20,Private,10,Never-married,Sales,Not-in-family,1,1,0,0,20,United-States,0
30,Private,12,Married-civ-spouse,Craft-repair,Husband,1,1,0,0,40,United-States,1
30,Private,11,Divorced,Adm-clerical,Unmarried,1,0,0,0,24,United-States,0
40,Local-gov,10,Married-civ-spouse,Transport-moving,Wife,1,0,0,0,25,United-States,1
30,Self-emp-not-inc,7,Married-civ-spouse,Machine-op-inspct,Husband,1,1,0,0,40,United-States,0
50,Self-emp-inc,5,Married-civ-spouse,Transport-moving,Husband,1,1,0,0,99,United-States,1
40,State-gov,9,Married-civ-spouse,Protective-serv,Husband,1,1,0,0,40,United-States,1
40,Private,14,Married-spouse-absent,Exec-managerial,Not-in-family,1,1,0,0,70,United-States,1
40,Private,13,Widowed,Adm-clerical,Not-in-family,1,0,0,0,25,United-States,0
70,Private,5,Widowed,Other-service,Unmarried,1,0,0,0,9,United-States,0
40,Private,9,Divorced,Adm-clerical,Unmarried,1,0,0,0,43,United-States,0
40,Private,9,Married-civ-spouse,Sales,Husband,1,1,0,0,65,United-States,1
50,Self-emp-inc,13,Married-civ-spouse,Prof-specialty,Husband,1,1,0,0,40,United-States,1
60,State-gov,4,Married-civ-spouse,Other-service,Wife,0,0,0,0,40,United-States,0
20,Local-gov,13,Never-married,Prof-specialty,Not-in-family,1,1,0,0,50,United-States,0
40,Private,13,Married-civ-spouse,Sales,Husband,1,1,0,1977,40,United-States,1
18,Federal-gov,7,Never-married,Machine-op-inspct,Own-child,1,1,0,0,4,United-States,0
50,Private,10,Married-civ-spouse,Sales,Husband,1,1,0,0,40,United-States,1
50,Private,14,Divorced,Sales,Not-in-family,1,0,0,1590,45,United-States,1
20,Private,9,Married-civ-spouse,Protective-serv,Husband,0,1,0,0,40,Thailand,0
20,Private,9,Married-civ-spouse,Craft-repair,Husband,1,1,0,0,40,United-States,0
60,Private,10,Widowed,Adm-clerical,Not-in-family,1,0,0,0,24,United-States,0
40,Private,9,Divorced,Adm-clerical,Not-in-family,1,0,0,0,40,United-States,0
40,Self-emp-inc,12,Married-civ-spouse,Craft-repair,Husband,1,1,0,0,40,United-States,1
60,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,1,1,0,0,9,United-States,1
40,Local-gov,12,Divorced,Prof-specialty,Unmarried,1,0,0,0,48,United-States,0
50,Private,10,Married-civ-spouse,Craft-repair,Husband,0,1,7688,0,40,Puerto-Rico,1
70,Self-emp-not-inc,10,Married-civ-spouse,Craft-repair,Husband,1,1,0,0,25,United-States,1
50,Private,10,Married-civ-spouse,Exec-managerial,Wife,1,0,0,0,20,United-States,1
20,Private,11,Divorced,Tech-support,Not-in-family,0,1,14344,0,40,United-States,1
30,Private,10,Never-married,Exec-managerial,Not-in-family,1,1,0,0,40,United-States,0
70,Private,16,Married-civ-spouse,Prof-specialty,Husband,1,1,0,0,30,United-States,1
20,Private,8,Never-married,Machine-op-inspct,Own-child,1,1,0,0,50,United-States,0
50,Private,10,Married-civ-spouse,Craft-repair,Husband,1,1,0,0,36,United-States,1
20,Private,12,Married-civ-spouse,Tech-support,Wife,1,0,0,0,38,United-States,1
30,Private,9,Divorced,Exec-managerial,Other-relative,1,0,0,0,40,United-States,0
20,Self-emp-not-inc,6,Divorced,Craft-repair,Not-in-family,1,1,0,0,80,United-States,0
70,Private,9,Married-spouse-absent,Prof-specialty,Not-in-family,1,1,0,0,6,United-States,0
20,Self-emp-not-inc,7,Never-married,Craft-repair,Own-child,1,1,0,0,50,Mexico,0
60,Private,14,Separated,Prof-specialty,Not-in-family,1,0,0,0,40,United-States,1
40,Local-gov,14,Married-civ-spouse,Prof-specialty,Wife,1,0,0,0,40,United-States,1
30,Local-gov,9,Never-married,Protective-serv,Own-child,1,1,0,0,40,United-States,0
70,Private,9,Never-married,Handlers-cleaners,Not-in-family,1,1,0,0,17,United-States,0
30,Local-gov,14,Married-civ-spouse,Prof-specialty,Wife,1,0,0,0,40,United-States,1
19,Private,9,Never-married,Other-service,Own-child,1,0,0,0,40,United-States,0
20,Private,10,Never-married,Prof-specialty,Own-child,1,0,0,0,15,United-States,0
40,State-gov,13,Married-civ-spouse,Prof-specialty,Other-relative,1,0,0,0,45,United-States,1
30,Private,9,Married-civ-spouse,Craft-repair,Husband,1,1,2407,0,40,United-States,1
19,Private,9,Never-married,Craft-repair,Not-in-family,1,1,0,0,49,United-States,0
40,Local-gov,11,Divorced,Exec-managerial,Unmarried,1,0,0,0,40,United-States,0
30,Private,10,Married-civ-spouse,Prof-specialty,Husband,0,1,0,0,40,Jamaica,1
30,Private,9,Married-civ-spouse,Craft-repair,Husband,1,1,0,0,40,United-States,0
30,State-gov,13,Married-civ-spouse,Prof-specialty,Husband,0,1,7688,0,60,India,1
50,Private,6,Married-civ-spouse,Other-service,Wife,0,0,0,0,40,United-States,1
50,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,1,1,0,0,50,United-States,0
30,Local-gov,13,Never-married,Prof-specialty,Own-child,0,1,0,0,35,United-States,0
40,Private,10,Divorced,Exec-managerial,Not-in-family,1,1,0,0,45,United-States,0
40,Self-emp-inc,11,Divorced,Exec-managerial,Unmarried,0,0,0,0,63,Thailand,0
20,Private,13,Never-married,Adm-clerical,Not-in-family,1,0,0,0,20,United-States,0
30,Private,9,Married-civ-spouse,Sales,Own-child,0,0,0,0,40,United-States,0
30,Private,13,Married-civ-spouse,Exec-managerial,Husband,1,1,0,0,40,United-States,1
30,Private,9,Divorced,Exec-managerial,Unmarried,1,0,0,0,40,United-States,0
40,Self-emp-inc,9,Married-civ-spouse,Prof-specialty,Husband,1,1,0,0,38,Germany,1
40,Private,10,Married-civ-spouse,Machine-op-inspct,Husband,1,1,0,0,40,United-States,1
30,Private,11,Married-civ-spouse,Exec-managerial,Husband,1,1,0,0,60,United-States,1
70,Private,13,Married-civ-spouse,Exec-managerial,Husband,1,1,0,0,3,Poland,1
30,Private,10,Married-civ-spouse,Farming-fishing,Husband,1,1,0,0,56,United-States,0
60,Private,1,Married-civ-spouse,Prof-specialty,Husband,0,1,0,0,30,Mexico,0
20,Private,9,Never-married,Sales,Own-child,1,0,0,0,40,Columbia,0
40,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,1,1,0,0,40,Mexico,0
50,Private,9,Divorced,Adm-clerical,Not-in-family,1,0,0,0,40,United-States,0
50,Private,14,Married-civ-spouse,Sales,Husband,1,1,15024,0,50,United-States,1
20,Local-gov,13,Never-married,Prof-specialty,Own-child,1,0,0,0,50,United-States,0
50,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Husband,1,1,0,0,30,United-States,1
30,Private,9,Married-civ-spouse,Transport-moving,Husband,1,1,0,0,55,United-States,1
40,Self-emp-inc,10,Never-married,Craft-repair,Not-in-family,1,1,0,0,45,United-States,0
60,Private,13,Widowed,Exec-managerial,Not-in-family,1,1,0,2392,40,United-States,1
20,Private,9,Never-married,Exec-managerial,Not-in-family,1,0,0,0,40,United-States,0
40,Private,14,Never-married,Exec-managerial,Not-in-family,1,1,0,0,45,United-States,1
30,Private,9,Married-civ-spouse,Sales,Husband,1,1,0,0,45,United-States,1
30,Private,9,Married-civ-spouse,Craft-repair,Husband,1,1,0,0,45,United-States,1
20,Private,10,Never-married,Adm-clerical,Own-child,1,0,0,0,40,United-States,0
20,State-gov,10,Never-married,Adm-clerical,Own-child,1,1,0,0,25,United-States,0
20,Private,10,Never-married,Sales,Not-in-family,0,1,0,0,40,Jamaica,0
30,Private,10,Married-civ-spouse,Machine-op-inspct,Husband,1,1,0,0,40,United-States,0
40,State-gov,15,Married-civ-spouse,Prof-specialty,Husband,1,1,0,0,72,United-States,1
20,Private,9,Never-married,Sales,Own-child,1,1,0,0,40,United-States,0
30,Private,9,Married-civ-spouse,Transport-moving,Husband,1,1,0,0,40,United-States,0
40,Private,10,Married-civ-spouse,Craft-repair,Husband,0,1,0,0,40,Vietnam,1
30,Private,9,Married-civ-spouse,Adm-clerical,Wife,1,0,0,0,40,?,1
20,State-gov,10,Never-married,Protective-serv,Not-in-family,1,1,0,0,36,United-States,0
30,Private,9,Married-civ-spouse,Exec-managerial,Husband,1,1,7688,0,50,United-States,1
20,Private,10,Never-married,Other-service,Own-child,1,1,0,0,40,United-States,0
20,Private,9,Never-married,Exec-managerial,Own-child,0,1,0,0,75,United-States,0
50,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,1,1,0,0,40,United-States,1
20,Private,9,Never-married,Adm-clerical,Own-child,1,0,0,0,40,United-States,0
30,Private,9,Married-civ-spouse,Adm-clerical,Wife,1,0,0,0,40,United-States,1
30,Private,10,Widowed,Sales,Not-in-family,1,0,0,0,20,United-States,0
40,Private,9,Never-married,Machine-op-inspct,Not-in-family,1,1,0,0,40,United-States,0
40,Self-emp-inc,12,Married-civ-spouse,Prof-specialty,Husband,1,1,0,0,50,United-States,1
20,Private,10,Married-civ-spouse,Handlers-cleaners,Husband,1,1,0,0,28,United-States,0
30,Private,13,Never-married,Prof-specialty,Not-in-family,1,0,0,0,40,United-States,0
40,Local-gov,13,Married-civ-spouse,Prof-specialty,Wife,1,0,0,0,40,United-States,1
50,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,1,1,0,1887,40,United-States,1
40,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,1,1,0,0,40,United-States,0
30,Private,10,Divorced,Machine-op-inspct,Not-in-family,1,1,0,0,52,United-States,0
30,Private,13,Married-spouse-absent,Other-service,Unmarried,1,0,0,0,24,United-States,0
40,Private,10,Divorced,Exec-managerial,Other-relative,0,0,0,0,55,United-States,0
50,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Husband,0,1,0,0,50,?,1
40,Private,9,Married-civ-spouse,Exec-managerial,Husband,1,1,0,0,40,United-States,1
40,Private,13,Never-married,Other-service,Not-in-family,1,1,0,0,50,Mexico,0
20,State-gov,10,Never-married,Other-service,Not-in-family,1,1,0,0,40,United-States,0
60,Self-emp-not-inc,6,Married-civ-spouse,Prof-specialty,Husband,1,1,0,0,10,United-States,0
30,Private,14,Married-civ-spouse,Exec-managerial,Husband,1,1,0,0,45,United-States,1
40,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,1,1,0,1902,45,United-States,1
70,Private,5,Married-civ-spouse,Other-service,Husband,1,1,0,0,40,United-States,0
30,State-gov,9,Separated,Other-service,Unmarried,1,0,0,0,40,United-States,0
20,State-gov,10,Never-married,Other-service,Own-child,1,0,0,0,14,United-States,0
20,Private,9,Never-married,Machine-op-inspct,Own-child,1,1,0,0,40,United-States,0
30,Private,9,Married-civ-spouse,Craft-repair,Husband,1,1,0,0,40,United-States,0
20,Private,9,Married-civ-spouse,Exec-managerial,Husband,1,1,0,0,50,United-States,1
60,Private,9,Widowed,Adm-clerical,Not-in-family,1,0,15831,0,16,Germany,1
40,Private,9,Married-civ-spouse,Craft-repair,Husband,1,1,0,0,40,United-States,1
40,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,1,1,0,0,40,United-States,0
19,Private,9,Never-married,Sales,Own-child,1,1,0,0,50,United-States,0
40,Private,13,Married-civ-spouse,Prof-specialty,Husband,1,1,15024,0,50,Italy,1
30,Private,10,Married-civ-spouse,Machine-op-inspct,Husband,0,1,0,0,40,United-States,1
40,Federal-gov,13,Married-spouse-absent,Tech-support,Not-in-family,0,1,0,0,40,United-States,1
